Dia;HORA.;SITE;Week;5G_GCELDA;5G_CSSR_DATA;5G_DCR_DATA  (triggered by sgNB);5G_DCR_DATA  (including triggered by MeNB);5G Intra HO SuccRate;5G Inter RAT HO SuccRate;Tput DL 5G User;Tput UL 5G User;5G_MIMO Performance;5G Avg Reported CQI;5G PRB Use;UL Average Interference Noise(dBm);5G.DCR.ATTEMPS;5G.CSSR.ATTEMPS;5G.INTER.ATTEMPS;5G.INTRA.ATTEMPS;TP1 (0.0 - 0.3 Km);TP2 (0.3 - 0.7 Km);TP3 (0.7 - 1.1 Km);TP4 (1.1 - 2.2 Km);TP5 (2.2 - 3.6 Km);TP6 (3.6 - 6.2 Km);TP7 (6.2 - 14.5 Km);TP8 (>14.5 Km);AVERAGE PRB LOAD DL: E5GPRBDL003: Num_DL_PRBs_Disp;N.PRB.DL.Used.Avg;5G_QF MIMO (Rank2)(%);5G_QF MIMO (Rank4)(%)
20250602;00:00:00;CAN5100;202523;CANX5100Q1A;98,30;1,11;5,26;100,00;100,00;14,11;10,66;1,73;10,59;13,11;-117,81;361,00;352,00;10,00;22,00;675,00;199,00;293 ;29 ;17 ;7 ;0,00;0,00;1.293.123.506,00;169.512.340,00;75 ;0 
20250602;00:00:00;CAN5100;202523;CANX5100Q2A;99,47;0,47;1,99;100,00;100,00;9,77;5,07;1,73;11,41;27,93;-117,52;1.057,00;949,00;116,00;17,00;1.176,00;31,00;47 ;21 ;6 ;5 ;0,00;0,00;1.620.444.342,00;452.547.539,00;67 ;0 
20250602;00:00:00;CAN5100;202523;CANX5100Q3A;100,00;1,28;6,85;100,00;N/A;16,03;7,61;1,75;11,79;10,11;-113,45;467,00;464,00;0,00;17,00;576,00;140,00;256 ;107 ;23 ;9 ;0,00;0,00;1.251.239.898,00;126.478.053,00;78 ;0 
20250602;00:00:00;CAN5101;202523;CANX5101Q1A;99,41;13,32;58,14;100,00;100,00;2,80;1,15;1,10;8,50;35,45;-117,95;743,00;682,00;25,00;16,00;791,00;261,00;2.279 ;1.443 ;9 ;0 ;0,00;0,00;1.302.805.200,00;461.893.388,00;8 ;0 
20250602;00:00:00;CAN5101;202523;CANX5101Q2A;99,74;5,53;25,76;100,00;100,00;10,04;3,10;1,64;10,41;34,92;-119,22;1.157,00;1.152,00;1,00;11,00;1.043,00;2.372,00;4.012 ;1.020 ;1 ;0 ;0,00;0,00;990.827.472,00;345.984.004,00;64 ;0 
20250602;00:00:00;CAN5101;202523;CANX5101Q3A;63,10;8,62;30,49;100,00;100,00;9,23;3,88;1,73;11,04;22,01;-117,73;1.079,00;1.523,00;63,00;8,00;2.563,00;197,00;1.865 ;1.364 ;5 ;0 ;0,00;0,00;998.782.382,00;219.805.254,00;76 ;0 
20250602;00:00:00;CAN5102;202523;CANX5102Q1A;98,32;0,95;3,11;100,00;100,00;1,78;2,59;1,30;9,34;51,45;-115,77;2.219,00;1.788,00;466,00;43,00;1.015,00;1.762,00;2.065 ;213 ;91 ;54 ;0,00;0,00;1.277.211.226,00;657.187.391,00;33 ;0 
20250602;00:00:00;CAN5102;202523;CANX5102Q2A;97,21;1,71;8,15;100,00;100,00;0,28;0,13;1,26;7,73;40,25;-114,98;5.720,00;5.444,00;449,00;855,00;3.227,00;5.953,00;7.638 ;178 ;9 ;5 ;0,00;0,00;1.287.388.438,00;518.117.828,00;24 ;0 
20250602;00:00:00;CAN5102;202523;CANX5102Q3A;99,36;1,27;3,70;100,00;100,00;0,43;0,24;1,38;7,54;41,13;-115,58;5.058,00;4.863,00;224,00;719,00;4.370,00;3.315,00;3.572 ;24 ;28 ;23 ;0,00;0,00;1.232.763.094,00;507.042.379,00;36 ;0 
20250602;00:00:00;CAN5102;202523;CANX5102Q4A;99,83;0,76;1,69;100,00;100,00;1,44;0,52;1,44;8,77;55,67;-116,83;1.184,00;1.169,00;4,00;114,00;231,00;904,00;1.403 ;29 ;15 ;9 ;0,00;0,00;1.006.879.266,00;560.549.602,00;44 ;0 
20250602;00:00:00;CAN5103;202523;CANX5103Q1A;100,00;0,68;1,71;100,00;100,00;5,52;7,13;1,61;10,04;29,79;-117,76;879,00;822,00;70,00;62,00;1.019,00;8,00;33 ;22 ;23 ;4 ;0,00;0,00;1.097.651.856,00;327.022.736,00;60 ;0 
20250602;00:00:00;CAN5103;202523;CANX5103Q2A;99,81;0,63;2,15;100,00;100,00;3,25;1,14;1,45;10,01;47,25;-116,17;2.230,00;2.124,00;122,00;65,00;2.578,00;126,00;383 ;221 ;34 ;13 ;0,00;0,00;1.154.719.400,00;545.637.310,00;51 ;0 
