DIA;HORA;SITE;3G_UTRANCELL;VOICE DROP CALL RATE: E3GD003: % RAB Drop Voice;VOICE CALL SETUP SUCCESS RATE FOR FAST DORMANCY: E3GVSS012: % CSSR;CALL SETUP SUCCESS RATE PS (R99+HS) FOR FAST DORMANCY: E3GSSPS012: % CSSR PS;PS DROP CALL RATE (R99+HS): E3GPSD003: % RAB Drop PS;SOFT HANDOVER(EXCL. PREP): E3GSH001 - Voice Sho Success Ratio;INTERFREQUENCY HARD HANDOVER SUCCESS (EXCL. PREP): E3GHH001: Cs Interfrequency Hard Handover Success Ratio;VOICE IRAT 3G TO 2G: E3GTO2G002: Irat 3g To 2g Voice Handover (Excluding Preparation);THROUGHPUT (KBPS): E3GT002: User Troughput (Kbps);THROUGHPUT (KBPS): E3GT003: UL User Throughput (Kbps);3G_QF_RSSI_UL(dBm);TP1 (0.0 - 0.3 Km);TP2 (0.3 - 0.7 Km);TP3 (0.7 - 1.1 Km);TP4 (1.1 - 2.2 Km);TP5 (2.2 - 3.7 Km);TP6 (3.7 - 6.2 Km);TP7 (6.2 - 14.0 Km);TP8 (>14.0 Km);INTEROPERABILITY WITH 4G: E3GI4G001: Cssr Csfb;3G_MeanDistance(#);3G.RAB.DROP.VOICE.ATTEMPS;3G.CSSR.CS.ATTEMPS;3G.CSSR.PS.ATTEMPS;3G.RAB.DROP.PS.ATTEMPS;3G.INTER.ATTEMPS;3G.TO.2G.ATTEMPS;3G.HO.ATTEMPS
20250602;0;CAN5040;CANX5040F1A;0,00;100,00;100,00;6,25;100,00;N/A;N/A;5.670,26;188,10;0,00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;100,00;;7,00;11 ;443 ;128,00;0,00;0,00;7,00
20250602;0;CAN5040;CANX5040F2A;0,00;N/A;99,40;0,58;100,00;N/A;N/A;2.244,40;99,78;0,00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;1,00;0 ;756 ;515,00;0,00;0,00;5,00
20250602;0;CAN5100;CANX5100F1A;0,00;N/A;100,00;1,54;100,00;N/A;N/A;1.926,31;94,55;-106,50;80 ;518,00;0,00;0 ;0 ;0 ;140 ;30 ;N/A;1.334 ;1,00;0 ;89 ;65,00;0,00;0,00;56,00
20250602;0;CAN5100;CANX5100F2A;0,00;N/A;100,00;3,42;100,00;N/A;N/A;3.957,58;267,37;-105,76;274 ;847,00;4.221,00;3.368 ;1.236 ;0 ;0 ;0 ;N/A;1.085 ;1,00;0 ;1.004 ;234,00;0,00;0,00;16,00
20250602;0;CAN5100;CANX5100F3A;0,00;100,00;100,00;2,33;N/A;N/A;N/A;319,78;126,74;-102,03;1.318 ;20,00;0,00;1 ;1.332 ;13 ;9 ;1 ;100,00;1.140 ;1,00;2 ;269 ;215,00;0,00;0,00;0,00
20250602;0;CAN5101;CANX5101F1A;0,00;100,00;100,00;1,88;N/A;N/A;N/A;388,86;70,59;-106,74;0 ;36,00;9,00;2.067 ;1.005 ;0 ;74 ;2 ;N/A;1.740 ;3,00;5 ;286 ;160,00;0,00;0,00;0,00
20250602;0;CAN5101;CANX5101F2A;0,00;100,00;99,71;1,67;100,00;N/A;N/A;3.175,74;250,40;-106,50;6 ;10,00;279,00;6.339 ;17.857 ;115 ;0 ;0 ;100,00;1.726 ;8,00;5 ;2.260 ;1.199,00;0,00;0,00;4,00
20250602;0;CAN5101;CANX5101F3A;0,00;100,00;100,00;0,25;100,00;N/A;N/A;3.375,34;135,48;-106,26;0 ;0,00;256,00;5.925 ;290 ;0 ;0 ;0 ;100,00;1.262 ;5,00;9 ;688 ;405,00;0,00;0,00;53,00
20250602;0;CAN5102;CANX5102B1A;N/A;N/A;96,00;0,00;N/A;N/A;N/A;514,40;66,80;-107,50;0 ;60,00;139,00;458 ;36 ;1 ;110 ;0 ;N/A;1.629 ;0,00;0 ;81 ;54,00;0,00;0,00;0,00
20250602;0;CAN5102;CANX5102B2A;0,00;100,00;99,71;0,20;N/A;N/A;N/A;3.913,32;147,60;-107,25;0 ;1.026,00;712,00;502 ;3.749 ;3.102 ;22 ;0 ;N/A;2.173 ;3,00;2 ;901 ;499,00;0,00;0,00;0,00
