Date;eNodeB ID;eNodeB Name;Cell ID;Cell Name;Integrity;4G_QF_VoLTE_DCR(%);4G_QF_VoLTE_CSSR(%);4G_QF_CSSR_PS_ERAB(%);4G_QF_DCR_PS(%);4G_QF_Exito HO Preparation 4G/3G SRVCC(%);4G_QF_Exito HO Execution 4G/3G SRVCC(%);4G_QF_CSFB_Success_Rate(%);4G_QF_IntraLTE HO SuccRate(%);4G_User_DL_Throughput(Mbps)(Mbps);4G_User_UL_Throughput(Mbps)(Mbps);%MIMO 4G(%);PRB.DL.Usage.RATE(%);PDCCH.Usage.RATE(%);TA (0 - 0.6 Km)(n); TA (0.6 - 1.1 Km) (#);TA (1.1 - 2 Km)(#);TA (2 - 3.5 Km)(n);TA (3.5 - 6.7 Km)(n);TA (>6.7 Km)(n);MIMO_Rank2(%);MIMO_Rank4(%);4G_QF_Availability(%);4G_QF_CA_Primary_Cell(%);4G_QF_CA_Secondary_Cell(%);Downtime_Hua_Availability_Rate_Daily(%);Downtime_Hua_Availability_Rate_Hourly(%);CSFB attempts to WCDMA(Times);% ERAB Accessibility(ALL QCI) HW(%);% ERAB Accessibility(QCI6-9)(%);4G_QF_CSSR_PS_RRC(%);4G_QF_VoLTE_CSSR_Attempts(#);_Att_DCR_PS_Total_AllQCI_Hua(#);_Att_DCR_PS_Total_Hua(#);4G_QF_Downlink_Traffic_Volume(MB);4G_QF_Downlink_Traffic_Volume_GB(GB);4G_QF_Intensidad_Paging(%);4G_QF_IntraLTE HOSR (including preparation)(%);% VOLTE_Intrafreq_HOSR_HW(%);4G_QF_IRAT_HO_4G_to_3G_success (including preparation)(%);IRAT HO 4G to 3G success (excluding preparation)(%);IRAT HO 4G to 3G success (including preparation)(%);4G_QF_UL_PUSCH_Interference(dBm);4G_HW_Avg_RRC_Connected_Users(Number);L.TA.UE.Index0;L.TA.UE.Index1;L.TA.UE.Index2;L.TA.UE.Index3;L.TA.UE.Index4;L.TA.UE.Index5;L.TA.UE.Index6;L.ChMeas.PRB.DL.Used.Avg;L.ChMeas.PRB.DL.Avail;Average coverage distance(m)
2025-05-26 00:00;306906;CANX6906L;10;CANX6906N1A;100.00%;0,0;100,0;100,0;0,0;/0;/0;100,0;/0;33,38219;1,45881;0,0;5,0675;8,71579;34178,0;917;1347;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;2,0;100,0;100,0;100,0;1174,0;1333,0;628,0;559,67989;0,54656;14,68944;/0;/0;/0;/0;/0;-119,25;10,1073;32863;1315;917;1347;0;0;0;5,0675;100,0;170,2093
2025-05-26 01:00;306906;CANX6906L;10;CANX6906N1A;100.00%;/0;/0;100,0;0,0;/0;/0;100,0;/0;5,23025;0,08038;0,0;2,7765;5,92157;12469,0;0;1309;2291,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;1,0;100,0;100,0;100,0;67,0;73,0;68,0;38,46978;0,03757;8,88056;/0;/0;/0;/0;/0;-119,5;4,4658;12424;45;0;1309;2291;0;0;2,7765;100,0;163,34783
2025-05-26 02:00;306906;CANX6906L;10;CANX6906N1A;100.00%;/0;/0;100,0;0,0;/0;/0;/0;/0;11,74463;0,23388;0,0;3,63975;5,96524;16282,0;0;0;60,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;0,0;100,0;100,0;100,0;316,0;326,0;297,0;135,64795;0,13247;6,21056;/0;/0;/0;/0;/0;-119,5;4,5205;15857;425;0;0;60;0;0;3,63975;100,0;196,80795
2025-05-26 03:00;306906;CANX6906L;10;CANX6906N1A;100.00%;/0;/0;100,0;0,0;/0;/0;/0;/0;4,71173;0,1154;0,0;2,0265;4,64616;16820,0;0;0;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;0,0;100,0;100,0;100,0;49,0;59,0;52,0;14,9934;0,01464;5,16472;/0;/0;/0;/0;/0;-119,75;4,6755;16641;179;0;0;0;0;0;2,0265;100,0;149,61818
2025-05-26 04:00;306906;CANX6906L;10;CANX6906N1A;100.00%;/0;/0;100,0;0,0;/0;/0;/0;/0;20,83435;0,43567;0,0;1,54275;3,31273;14244,0;0;0;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;0,0;100,0;100,0;100,0;199,0;196,0;190,0;1,45022;0,00142;4,80528;/0;/0;/0;/0;/0;-119,75;3,9578;14244;0;0;0;0;0;0;1,54275;100,0;199,77551
2025-05-26 05:00;306906;CANX6906L;10;CANX6906N1A;100.00%;/0;/0;100,0;0,0;/0;/0;/0;/0;49,19798;1,07149;0,0;1,74575;4,00103;18418,0;0;0;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;0,0;100,0;100,0;100,0;334,0;339,0;225,0;44,40764;0,04337;5,10194;/0;/0;/0;/0;/0;-120,0;5,1205;18152;266;0;0;0;0;0;1,74575;100,0;194,34177
2025-05-26 06:00;306906;CANX6906L;10;CANX6906N1A;100.00%;0,0;100,0;99,7546;0,0193;100,0;100,0;100,0;100,0;21,35024;2,81006;0,0;28,528;18,48602;118861,0;0;0;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;2,0;99,87959;99,7546;100,0;4917,0;5169,0;2542,0;6549,09784;6,3956;7,88361;100,0;100,0;100,0;100,0;100,0;-119,0;32,9698;116797;2064;0;0;0;0;0;28,528;100,0;216,79527
2025-05-26 07:00;306906;CANX6906L;10;CANX6906N1A;100.00%;0,0;99,9564;99,9564;0,0148;100,0;100,0;100,0;100,0;9,99774;1,23908;0,0;78,2145;34,93835;295815,0;11;0;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;5,0;99,9564;99,9564;99,9564;12629,0;13509,0;6498,0;15319,82533;14,96077;15,76889;100,0;/0;100,0;100,0;100,0;-118,75;82,0253;292211;3604;11;0;0;0;0;78,2145;100,0;219,1874
2025-05-26 08:00;306906;CANX6906L;10;CANX6906N1A;100.00%;0,0;99,97074;99,9579;0,0594;100,0;100,0;100,0;100,0;5,67694;5,01446;0,0;89,9955;38,63523;370729,0;0;0;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;6,0;99,96579;99,95789;99,9868;14132,0;15141,0;7350,0;18437,69358;18,00556;29,38417;100,0;100,0;100,0;100,0;100,0;-118,0;102,7895;365074;5655;0;0;0;0;0;89,9955;100,0;222,23474
2025-05-26 09:00;306906;CANX6906L;10;CANX6906N1A;100.00%;0,0;99,9106;99,89955;0,0602;20,0;100,0;100,0;/0;8,68928;2,65683;0,0;84,128;37,07435;410198,0;0;0;0,0;0,0;0,0;/0;/0;100,0;0,0;0,0;100,0;100,0;17,0;99,91215;99,89954;99,9772;16683,0;18265,0;8313,0;19114,37307;18,66638;39,98722;/0;/0;20,0;100,0;20,0;-118,0;113,6648;406754;3444;0;0;0;0;0;84,128;100,0;211,23307
